xStart,xEnd,timestep,Queried,Sent
181,212,3234,True,True
1562,1593,2947,True,True
1321,1352,2234,True,True
886,917,3546,True,True
874,905,514,True,True
1732,1763,3685,True,True
174,205,3401,True,True
1407,1438,2015,True,True
407,438,2934,True,True
190,221,2082,True,True
1062,1093,1076,True,True
1968,1999,3200,True,True
1485,1516,984,True,True
1536,1567,1258,True,True
1448,1479,2078,True,True
1586,1617,3350,True,True
1036,1067,1536,True,True
259,290,1977,True,True
1694,1725,167,True,True
909,940,464,True,True
1010,1041,224,True,True
748,779,289,True,True
369,400,3475,True,True
1870,1901,3368,True,True
1577,1608,3288,True,True
1299,1330,223,True,True
812,843,311,True,True
1660,1691,1123,True,True
1101,1132,2262,True,True
895,926,1337,True,True
909,940,1951,True,True
459,490,692,True,True
186,217,2924,True,True
1119,1150,1256,True,True
1791,1822,267,True,True
129,160,2971,True,True
1732,1763,3612,True,True
1670,1701,59,True,True
559,590,1747,True,True
1275,1306,3309,True,True
334,365,2825,True,True
1530,1561,3427,True,True
1413,1444,1661,True,True
716,747,1490,True,True
137,168,2837,True,True
1958,1989,615,True,True
899,930,958,True,True
1802,1833,2404,True,True
1368,1399,2674,True,True
1570,1601,479,True,True
1533,1564,2034,True,True
393,424,1460,True,True
734,765,2007,True,True
942,973,3834,True,True
1005,1036,307,True,True
89,120,3982,True,True
1103,1134,1799,True,True
312,343,3089,True,False
1500,1531,1698,True,False
1378,1409,1244,True,False
1861,1892,3083,True,False
1503,1534,2751,True,False
740,771,577,True,False
1952,1983,2822,True,False
829,860,3013,True,False
658,689,1552,True,False
1827,1858,3703,True,False
748,779,2564,True,False
154,185,1335,True,False
948,979,43,True,False
1605,1636,2700,True,False
383,414,837,True,False
934,965,3027,True,False
263,294,2101,True,False
1385,1416,1867,True,False
960,991,656,True,False
667,698,2847,True,False
458,489,664,True,False
1139,1170,1672,True,False
1352,1383,3346,True,False
1897,1928,3682,True,False
882,913,3957,True,False
325,356,3833,True,False
1680,1711,2224,True,False
1271,1302,802,True,False
1413,1444,3357,True,False
197,228,3207,True,False
631,662,3962,True,False
1549,1580,2604,True,False
1679,1710,567,True,False
878,909,2012,True,False
1624,1655,1793,True,False
1698,1729,3372,True,False
782,813,1571,True,False
1812,1843,1315,True,False
582,613,321,True,False
484,515,3342,True,False
1377,1408,3022,True,False
1285,1316,165,True,False
282,313,1736,True,False
1680,1711,1919,True,False
404,435,1878,True,False
1624,1655,3676,True,False
15,46,603,True,False
1608,1639,1226,True,False
1588,1619,724,True,False
1574,1605,977,True,False
